iso,cpi,Year
IRN,2.7,2015
NPL,2.7,2015
NIC,2.7,2015
PRY,2.7,2015
UKR,2.7,2015
COM,2.6,2015
NGA,2.6,2015
TJK,2.6,2015
BGD,2.5,2015
GIN,2.5,2015
KEN,2.5,2015
LAO,2.5,2015
PNG,2.5,2015
UGA,2.5,2015
CAF,2.4,2015
COG,2.3,2015
TCD,2.2,2015
COD,2.2,2015
MMR,2.2,2015
BDI,2.1,2015
KHM,2.1,2015
ZWE,2.1,2015
UZB,1.9,2015
ERI,1.8,2015
SYR,1.8,2015
TKM,1.8,2015
YEM,1.8,2015
GNB,1.7,2015
HTI,1.7,2015
VEN,1.7,2015
IRQ,1.6,2015
LBY,1.6,2015
AGO,1.5,2015
SSD,1.5,2015
SDN,1.2,2015
AFG,1.1,2015
PRK,0.8,2015
SOM,0.8,2015
NZL,8.9,2017
DNK,8.8,2017
FIN,8.5,2017
NOR,8.5,2017
CHE,8.5,2017
SGP,8.4,2017
SWE,8.4,2017
CAN,8.2,2017
LUX,8.2,2017
NLD,8.2,2017
GBR,8.2,2017
DEU,8.1,2017
AUS,7.7,2017
HKG,7.7,2017
ISL,7.7,2017
AUT,7.5,2017
BEL,7.5,2017
USA,7.5,2017
IRL,7.4,2017
JPN,7.3,2017
EST,7.1,2017
ARE,7.1,2017
FRA,7.0,2017
URY,7.0,2017
BRB,6.8,2017
BTN,6.7,2017
CHL,6.7,2017
BHS,6.5,2017
PRT,6.3,2017
QAT,6.3,2017
TWN,6.3,2017
BRN,6.2,2017
ISR,6.2,2017
BWA,6.1,2017
SVN,6.1,2017
POL,6.0,2017
SYC,6.0,2017
CRI,5.9,2017
LTU,5.9,2017
LVA,5.8,2017
VCT,5.8,2017
CYP,5.7,2017
CZE,5.7,2017
DMA,5.7,2017
ESP,5.7,2017
GEO,5.6,2017
MLT,5.6,2017
CPV,5.5,2017
RWA,5.5,2017
LCA,5.5,2017
KOR,5.4,2017
GRD,5.2,2017
NAM,5.1,2017
ITA,5.0,2017
MUS,5.0,2017
SVK,5.0,2017
HRV,4.9,2017
SAU,4.9,2017
GRC,4.8,2017
JOR,4.8,2017
ROU,4.8,2017
CUB,4.7,2017
MYS,4.7,2017
MNE,4.6,2017
STP,4.6,2017
HUN,4.5,2017
SEN,4.5,2017
BLR,4.4,2017
JAM,4.4,2017
OMN,4.4,2017
BGR,4.3,2017
ZAF,4.3,2017
VUT,4.3,2017
BFA,4.2,2017
LSO,4.2,2017
TUN,4.2,2017
CHN,4.1,2017
SRB,4.1,2017
SUR,4.1,2017
TTO,4.1,2017
GHA,4.0,2017
IND,4.0,2017
MAR,4.0,2017
TUR,4.0,2017
ARG,3.9,2017
BEN,3.9,2017
KSV,3.9,2017
KWT,3.9,2017
SLB,3.9,2017
SWZ,3.9,2017
ALB,3.8,2017
BIH,3.8,2017
GUY,3.8,2017
LKA,3.8,2017
TLS,3.8,2017
BRA,3.7,2017
COL,3.7,2017
IDN,3.7,2017
PAN,3.7,2017
PER,3.7,2017
THA,3.7,2017
ZMB,3.7,2017
BHR,3.6,2017
CIV,3.6,2017
MNG,3.6,2017
TZA,3.6,2017
ARM,3.5,2017
ETH,3.5,2017
MKD,3.5,2017
VNM,3.5,2017
PHL,3.4,2017
DZA,3.3,2017
BOL,3.3,2017
SLV,3.3,2017
MDV,3.3,2017
NER,3.3,2017
ECU,3.2,2017
EGY,3.2,2017
GAB,3.2,2017
PAK,3.2,2017
TGO,3.2,2017
AZE,3.1,2017
DJI,3.1,2017
KAZ,3.1,2017
LBR,3.1,2017
MWI,3.1,2017
MLI,3.1,2017
NPL,3.1,2017
MDA,3.1,2017
GMB,3.0,2017
IRN,3.0,2017
MMR,3.0,2017
SLE,3.0,2017
UKR,3.0,2017
DOM,2.9,2017
HND,2.9,2017
KGZ,2.9,2017
LAO,2.9,2017
MEX,2.9,2017
PNG,2.9,2017
PRY,2.9,2017
RUS,2.9,2017
BGD,2.8,2017
GTM,2.8,2017
KEN,2.8,2017
LBN,2.8,2017
MRT,2.8,2017
COM,2.7,2017
GIN,2.7,2017
NGA,2.7,2017
NIC,2.6,2017
UGA,2.6,2017
CMR,2.5,2017
MOZ,2.5,2017
MDG,2.4,2017
CAF,2.3,2017
BDI,2.2,2017
HTI,2.2,2017
UZB,2.2,2017
ZWE,2.2,2017
KHM,2.1,2017
COG,2.1,2017
COD,2.1,2017
TJK,2.1,2017
TCD,2.0,2017
ERI,2.0,2017
AGO,1.9,2017
TKM,1.9,2017
IRQ,1.8,2017
VEN,1.8,2017
PRK,1.7,2017
GNQ,1.7,2017
GNB,1.7,2017
LBY,1.7,2017
SDN,1.6,2017
YEM,1.6,2017
AFG,1.5,2017
SYR,1.4,2017
SSD,1.2,2017
SOM,0.9,2017
