Country,Year,61006,43606,185606,185506,137906,137506,128306,68606,53506,52306,46006,44206,23806
ARG,2011,,51.0,93.0,99.0,0.989,0.823,146.0,0.368,2.045,0.566,146.955,41.321,58.312
ARM,2011,2.5,32.0,91.0,99.0,0.968,0.733,158.0,0.34,6.441,0.27,111.635,2.877,96.6
AUS,2011,1.1,79.488,100.0,100.0,0.976,0.928,129.0,0.132,4.694,2.241,105.551,22.538,93.608
AUT,2011,0.9,78.74,100.0,100.0,0.96,0.897,106.0,0.106,5.329,2.669,154.05,8.454,100.0
AZE,2011,,50.0,85.0,87.0,0.943,0.731,225.0,0.303,6.801,0.211,110.647,9.146,95.556
BDI,2011,3.9,1.11,46.0,57.0,0.983,0.41,115.0,0.543,0.15,0.121,21.372,8.958,7.124
BEL,2011,1.9,81.61,99.0,100.0,0.97,0.904,,0.086,29.986,2.155,113.457,11.014,80.101
BFA,2011,0.6,3.0,17.0,50.0,0.835,0.385,31.0,0.615,1.34,,47.769,16.082,
BGR,2011,1.7,47.98,86.0,99.0,0.991,0.782,134.0,0.236,3.664,0.532,141.965,7.379,93.735
BHR,2011,0.5,77.0,100.0,100.0,0.971,0.798,,0.222,2.713,,132.508,1.278,55.66
BIH,2011,1.4,43.888,95.0,97.0,0.937,0.722,75.0,0.211,2.529,,86.619,3.661,56.833
BLR,2011,3.9,39.649,96.0,97.0,1.022,0.798,387.0,0.149,6.481,0.678,113.59,9.415,89.319
BOL,2011,12.3,30.0,50.0,89.0,0.923,0.66,111.0,0.498,3.584,,81.791,10.213,49.148
BRA,2011,24.2,45.69,83.0,97.0,1.007,0.73,269.0,0.45,3.915,1.14,118.653,197.515,53.598
BWA,2011,,9.0,69.0,84.0,0.977,0.676,230.0,0.498,8.931,,143.905,2.015,78.224
CAN,2011,1.8,83.0,100.0,99.0,0.988,0.899,116.0,0.118,2.142,1.791,77.709,34.539,100.0
CHE,2011,0.6,85.193,100.0,100.0,0.959,0.932,71.0,0.061,2.968,,127.515,7.907,95.394
CHL,2011,3.7,52.25,98.0,99.0,0.96,0.812,345.0,0.357,9.574,0.351,129.487,17.234,72.861
CHN,2011,0.9,38.3,75.0,89.0,0.948,0.711,121.0,0.187,3.709,1.775,71.649,1376.498,67.744
COL,2011,34.8,40.351,83.0,95.0,0.984,0.735,216.0,0.441,4.379,0.206,101.177,45.663,45.181
CPV,2011,10.4,32.0,63.0,84.0,0.974,0.633,,,5.483,0.073,79.467,0.499,
CRI,2011,10.3,39.212,96.0,98.0,0.971,0.768,264.0,0.318,6.467,0.468,89.639,4.633,50.014
CYP,2011,0.8,56.86,99.0,100.0,0.969,0.853,55.0,0.139,-43.463,0.456,128.498,1.125,75.658
CZE,2011,0.8,70.49,99.0,100.0,0.978,0.865,219.0,0.133,1.838,1.556,124.617,10.567,99.79
DEU,2011,0.9,81.27,99.0,100.0,0.963,0.925,86.0,0.093,2.594,2.796,112.423,80.856,96.619
DNK,2011,0.8,89.81,100.0,100.0,0.982,0.922,71.0,0.052,3.942,2.945,128.483,5.583,96.882
DZA,2011,0.8,14.9,87.0,93.0,0.838,0.738,136.0,0.515,1.286,,97.148,36.661,30.368
ECU,2011,15.4,31.367,82.0,90.0,0.958,0.742,,0.425,0.812,0.34,100.583,15.244,42.498
EGY,2011,3.1,25.6,94.0,99.0,0.867,0.669,77.0,,-0.205,0.532,98.694,84.529,54.428
ESP,2011,0.8,67.09,100.0,100.0,0.979,0.87,150.0,0.109,2.136,1.325,111.695,47.084,68.797
EST,2011,4.9,76.5,99.0,100.0,1.025,0.853,256.0,0.173,4.828,2.307,136.029,1.328,100.0
FIN,2011,2.0,88.71,99.0,100.0,1.002,0.907,61.0,0.073,-2.195,3.639,165.862,5.39,100.0
FRA,2011,1.4,77.82,99.0,100.0,0.989,0.876,102.0,0.105,1.544,2.192,94.612,63.222,79.813
GBR,2011,1.0,85.38,99.0,100.0,0.964,0.899,149.0,0.176,1.025,1.675,120.525,64.022,99.856
GEO,2011,,31.52,91.0,96.0,0.967,0.738,578.0,0.419,8.078,,108.56,4.081,
GHA,2011,1.7,9.0,15.0,75.0,0.89,0.563,,0.572,8.208,,83.37,25.388,55.696
GRC,2011,1.6,51.65,99.0,100.0,0.962,0.853,109.0,0.148,0.379,0.672,111.995,10.829,64.242
GTM,2011,38.0,12.3,65.0,91.0,0.905,0.607,,0.528,2.391,0.048,130.305,14.949,22.609
HND,2011,85.1,15.9,75.0,92.0,0.963,0.601,144.0,0.518,5.928,,95.066,8.481,27.54
HRV,2011,1.1,57.79,96.0,99.0,0.984,0.817,118.0,0.144,2.272,0.751,118.595,4.313,89.054
HUN,2011,1.5,68.02,98.0,100.0,0.992,0.823,174.0,0.262,7.463,1.189,118.132,9.896,98.206
IDN,2011,0.6,12.28,62.0,85.0,0.927,0.674,,0.481,2.303,,101.913,245.116,44.482
IND,2011,3.8,10.07,44.0,88.0,0.788,0.59,30.0,0.594,2.002,0.831,71.493,1250.288,43.744
IRL,2011,0.9,74.89,91.0,97.0,0.975,0.894,90.0,0.153,9.947,1.55,106.866,4.591,79.562
IRN,2011,,19.0,88.0,95.0,0.868,0.767,331.0,0.535,0.733,,75.089,74.635,63.598
IRQ,2011,8.3,5.0,84.0,91.0,0.79,0.658,97.0,0.556,1.121,0.035,83.055,30.725,40.684
ISL,2011,0.9,94.82,99.0,100.0,0.982,0.901,46.0,0.098,7.303,2.483,106.372,0.323,96.044
ISR,2011,2.0,68.874,100.0,100.0,0.969,0.892,251.0,0.144,3.306,4.013,122.878,7.487,85.435
ITA,2011,0.9,54.39,99.0,100.0,0.971,0.875,114.0,0.121,1.513,1.21,161.172,59.589,74.773
JOR,2011,1.9,34.9,98.0,99.0,0.852,0.725,83.0,0.497,5.136,,97.647,7.663,75.908
JPN,2011,0.3,79.054,100.0,99.0,0.962,0.89,54.0,0.12,-0.014,3.245,103.317,128.499,88.336
KAZ,2011,8.5,50.6,97.0,92.0,1.009,0.772,297.0,0.257,7.144,0.153,153.061,16.491,99.717
KEN,2011,5.3,8.8,31.0,55.0,0.92,0.54,120.0,0.61,3.457,,65.034,43.178,29.432
KGZ,2011,8.5,17.5,96.0,85.0,0.959,0.639,,0.375,11.065,0.156,113.759,5.518,96.244
KHM,2011,1.8,3.1,41.0,69.0,0.891,0.542,,0.488,11.995,,94.606,14.541,16.868
KOR,2011,0.8,83.759,100.0,99.0,0.927,0.888,91.0,0.092,0.813,3.744,105.465,49.786,85.023
KWT,2011,1.8,65.769,100.0,100.0,0.987,0.796,128.0,0.21,2.116,0.099,155.747,3.168,54.246
LKA,2011,3.6,15.0,92.0,86.0,0.929,0.756,114.0,0.398,1.464,,89.808,20.398,75.672
LSO,2011,34.5,7.0,32.0,68.0,1.026,0.47,,0.559,2.194,0.012,61.501,2.004,20.653
LTU,2011,6.9,63.64,90.0,95.0,1.037,0.831,322.0,0.171,3.537,0.904,160.148,3.083,91.634
LUX,2011,0.8,90.03,98.0,100.0,0.972,0.892,123.0,0.113,14.738,1.463,147.307,0.519,100.0
LVA,2011,3.3,69.75,91.0,98.0,1.033,0.822,314.0,0.205,5.316,0.697,110.288,2.094,98.789
MAR,2011,1.3,46.107,83.0,79.0,0.823,0.627,,0.533,2.487,,111.507,32.782,26.336
MDA,2011,7.5,38.0,75.0,87.0,1.005,0.687,159.0,0.258,4.135,0.405,78.871,4.079,94.32
MEX,2011,22.9,37.176,86.0,96.0,0.953,0.746,179.0,0.393,2.079,0.511,81.752,115.695,55.408
MKD,2011,1.4,56.7,95.0,95.0,0.943,0.739,121.0,,4.84,0.223,106.791,2.072,
MLT,2011,0.7,68.02,100.0,100.0,0.937,0.848,140.0,0.265,82.114,0.673,124.906,0.418,69.744
MMR,2011,2.1,0.98,67.0,71.0,,0.534,131.0,0.533,4.201,,2.439,50.991,20.332
MNE,2011,3.4,35.612,95.0,96.0,0.956,0.797,212.0,0.203,12.257,0.315,185.378,0.625,89.216
MNG,2011,9.6,12.5,56.0,78.0,1.017,0.711,290.0,0.406,43.912,0.231,106.207,2.77,85.54
MOZ,2011,3.4,4.3,22.0,42.0,0.891,0.391,65.0,0.598,27.903,,32.477,24.187,12.087
MUS,2011,2.7,34.95,95.0,100.0,0.946,0.756,216.0,0.37,3.762,,103.439,1.251,53.57
MYS,2011,1.9,61.0,99.0,97.0,0.961,0.779,,0.309,5.074,1.033,127.958,28.651,70.436
NAM,2011,13.9,12.0,33.0,80.0,0.98,0.601,,0.512,6.539,,101.753,2.157,35.02
NIC,2011,12.7,10.6,69.0,81.0,0.942,0.619,,0.479,9.579,0.083,81.713,5.903,40.404
